会社名,仕事内容,勤務地,初年度年収,対象となる方,給与,情報更新日
株式会社ボンズ・ジャパン,1Rマンションを中心とした投資用物件の提案営業をお任せします。完全紹介のため、テレアポをしたり、飛び込み営業をしたり…という必要はありません。,＜宮崎本社＞ 宮崎県宮崎市橘通東3丁目6-19　EST2ビル6階 ■転勤なし ■U・Iターン　大歓…,,《学歴・経験・年齢不問／立派な志望動機も不要！》★「20代で年収1000万円を超えたい」「独立したい」色々な志望動機を持った先輩たちが活躍中！,月給23万円〜＋インセンティブ＋賞与年2回＋諸手当 ■上記には月26時間分／4万円の固定残業代を含みます…,2020/11/17
埼玉トヨペットホールディングス株式会社,◆大型積載車にてトヨタ車の積載配送をお任せします。3～6ヶ月の同乗研修で安心してデビュー可能◆将来的に大型トレーラーのドライバーへキャリアUPも,埼玉県北足立郡伊奈町小室10557 ★マイカー通勤OK,500万円～600万円,【学歴不問／年齢不問】※要大型免許 ★積載車への興味がある方は歓迎！ 《 ★安心のトヨタブランド ★》10～20年と落ち着いて長く活躍できます！,月給27万円〜 ※試用期間6ヶ月あり(期間中、条件に変更ナシ) 【月収モデル】 月収37万円(各種手当込み)…,2020/11/17
グッドモーゲージ株式会社,【販売商品はたったの2種！】 ◆圧倒的なブランド力と低金利を誇る住宅ローン『MR.住宅ローンREAL』と『フラット35』の提案営業をお任せします。,東京都、大阪府のローンプラザのいずれか ※希望を考慮します ◆渋谷ローンプラザ／東京都渋谷区渋谷1…,450万円～800万円,【前職での待遇とポジションを最大限考慮！】 ◆法人営業の経験をお持ちの方 ◎万全の体制で長期キャリアをサポート ★20～40代の社員が活躍中！,"月給27万5,000円以上 ※前職の給与を考慮します。 ※経験・能力・知識に連動して加給優遇いたします。 …",2020/11/19
特定非営利活動法人みらい,《運動支援などに注力》当法人が運営する放課後等デイサービス・児童発達支援施設のスタッフとして、教室の運営や療育に携わっていただきます,《放課後等デイサービス 児童発達支援 えがお》 ⇒大阪府大阪市天王寺区清水谷町10-12-1F ※…,350万円～500万円,【子どもの成長を肌で感じられる環境です】◆児童発達支援管理責任者(以下児発管)の有資格者、または保育士・教師など児発管の要件を満たす方,【児童発達管理責任者、有資格者】 ◆月給30万円以上（一律手当含む） ※半年後に昇給あり（月給32万円以…,2020/11/17
グラングッド不動産株式会社,【 営業方法にルールなし！ 】あなたの”やり方”で、不動産の売買仲介業務を行っていただきます。「買い担当」「売り担当」「売買担当」が選べます！,福岡市内の「YAMADA不動産」勤務 福岡中央店、福岡香椎店、福岡賀茂店 ※転居を伴う転勤なし ※…,,◎不動産業界での勤務経験がある方 ◎普通免許（AT可）★社員の平均年収は550万円以上 ★30代を中心に幅広い年代の社員が活躍中！,"(１)月給21万8,000円以上 ＋ 諸手当 ★最大歩合率30％ (２)月給26万8,000円以上 ＋ 諸手当 ★最大歩合率…",2020/11/20
表示灯株式会社,＼導入実績トップクラスだから売りやすい!!／駅の改札付近や市役所、病院などに設置されている周辺案内図「NAVITA」への広告掲載をご提案します。,◆広島支店・仙台支社・静岡支店勤務 ◆勤務地は希望を考慮/U・Iターン歓迎 広島支店 └広島県広島…,400万円～1000万円,＼学歴・経験不問!!社会人デビュー・第二新卒歓迎／広告業界に興味のある方歓迎、業界問わず営業経験のある方は優遇します。※要普免（AT限定可）,"月給18万4,700円〜31万6,700円＋インセンティブ（営業成績による）＋各種手当 ※経験・年齢・スキルを考…",2020/11/13
株式会社ラクシュミー,＼未経験スタートの先輩も活躍中！／ ◎カウンセリング～エステ施術 ◎マシンを使ったコースがメインなので初めての方も取り組みやすい！,<大通駅徒歩1分の好立地> 【Luxmi(ラクシュミー)】 北海道札幌市中央区南1条西5丁目1番5…,300万円～800万円,＼「自分の実力で稼ぎたい」「接客を極めたい」という方はぜひ！！／ ◎1年以上の接客経験がある方(アルバイト等も可) ◎営業経験者はなお歓迎,月給／21万円〜60万円 ＋ インセンティブ(上限なし) ※経験・スキルを考慮の上、当社規定により優遇しま…,2020/11/18
YELL合同会社,お客様の条件にあった賃貸物件のご提案をお任せします。★100%反響営業の営業スタイル！⇒Webなどの情報を見て来店されるお客様が多数！,＜転勤なし＞下北沢店または百合ヶ丘店での勤務となります。 ★駅チカ（徒歩1分） ★勤務地は希望を考…,300万円～960万円,＜学歴不問／未経験・第二新卒歓迎＞◇人物重視の採用です ◆普通自動車免許（AT限定可）◇多くの先輩が異業種出身で未経験からのスタート！,月給23万円〜40万円＋歩合 ※給与は経験、スキルを考慮のうえ決定します。 ※固定残業代（25時間分・3万…,2020/11/13
有限会社ホームビルダー,HPに問合せ頂いたお客様やモデルハウスにご来店されたお客様へ、自社ブランド《B-stage(新築戸建)》《ARCASA(賃貸・収益マンション・ハイツ)》を提案,【アクセス抜群！難波からも乗換なし】 ※転勤なし ※マイカー・バイク通勤OK ※U・Iターン歓迎…,,【未経験者から経験者まで幅広く募集】◎要普通免許（AT限定可）◎人物・意欲重視の採用なので、営業経験や不動産知識は不問◎宅建をお持ちの方は優遇,月給22万円以上＋諸手当＋インセンティブ 【月収例】月収180万円（月給25万円）／20代 ※経験・能力など…,2020/11/24
株式会社リクルート北関東マーケティング,「SUUMO」「ホットペッパー」など、リクルートグループ発行の各種メディアの企画提案営業を行います【完週休2日(土日)/フルフレックスタイム制採用】,群馬(高崎/太田)・栃木(宇都宮)・茨城(水戸/つくば)・新潟(新潟)のいずれかの各拠点 ※将来的…,350万円～450万円,【経験不問・実務未経験OK】◆短大・専門卒以上 ◆35歳未満の方 ★これまでの経験ではなく、これからの「成長意欲」を重視した採用を行います。,"月給23万9,470円以上 + 達成インセンティブ ★未経験でも高収入スタート！ --------------------------…",2020/11/13
大志株式会社,お客様の「売りたい」「買いたい」を繋ぐお仕事です。※月100件以上の問い合わせがあるのでお客様探しで困ることはありません！※個人ノルマなし,【転勤なし】 ★2020年10月埼玉支店オープン★ 新宿本社もしくは埼玉支店に配属致します。 現在…,350万円～700万円,《20～30代活躍中！》◆営業経験をお持ちの方 ◆要普免（AT限定可）「経験を活かし上を目指したい」「今よりもっと稼ぎたい」方、歓迎します！,不動産営業経験者：月給30万円〜50万円＋歩合＋資格手当（宅建取得者の場合、月1.5万〜3.0万円） 未経験…,2020/11/13
nmsエンジニアリング株式会社,≪モノづくりやITプロジェクトとエンジニアを繋ぐ！≫企業提案、エンジニアフォローの両面に関わって頂きます。,★全国の各拠点で積極採用中！※UIターンも歓迎 札幌、盛岡、横浜、名古屋、大阪、福岡,400万円～700万円,◎大卒以上・自動車免許をお持ちの方(AT限定可)／法人営業経験者※エンジニア派遣の営業経験をお持ちの方は、これまでの経験を存分に発揮できる環境。,◆月給33万円〜55万円 ※希望や経験・スキルを考慮して、十分な話し合いの上決定致します。 ※試用期間3…,2020/11/10
株式会社鈴鹿英数学院,【受験を通じて人生で大切なことを教えていく】小中学生向けの学習サポートまたは高校生対象とした東進衛生予備校の管理運営、進路指導を行います。,◎転勤なし！ ◎新宿区・世田谷区・杉並区・港区・千代田区の各校舎へ配属します ★駅チカで通勤便利…,,【子供が好きな気持ちがあれば、入社時のスキルは不問】◆未経験・第二新卒歓迎◆充実した研修あり！子供の夢を一緒にサポートしていきませんか？,月給20万円〜35万円＋手当 ※あなたの年齢や経験に応じて決定します。 大切なことですので面接時にしっか…,2020/11/13
